company_id,slug,name,batch,batch_year,guessed_domain_1,guessed_domain_2,guessed_domain_3
30078,abundant,"Abundant",Fall 2024,2024,abundant.com,abundant.ai,abundant.io
30037,afternoon-co,"Afternoon.co",Fall 2024,2024,afternoonco.com,afternoonco.ai,afternoonco.io
30100,alex,"Alex",Fall 2024,2024,alex.com,alex.ai,alex.io
30130,apolink,"Apolink",Fall 2024,2024,apolink.com,apolink.ai,apolink.io
30045,archil,"Archil",Fall 2024,2024,archil.com,archil.ai,archil.io
30105,archilabs,"ArchiLabs",Fall 2024,2024,archilabs.com,archilabs.ai,archilabs.io
30131,asha-health,"Asha Health",Fall 2024,2024,ashahealth.com,ashahealth.ai,ashahealth.io
30051,attimet,"attimet",Fall 2024,2024,attimet.com,attimet.ai,attimet.io
30077,autocomputer,"AutoComputer",Fall 2024,2024,autocomputer.com,autocomputer.ai,autocomputer.io
30019,avora,"Avora",Fall 2024,2024,avora.com,avora.ai,avora.io
30067,beglaubigtde,"Beglaubigt.de",Fall 2024,2024,beglaubigtde.com,beglaubigtde.ai,beglaubigtde.io
30030,candle,"Candle",Fall 2024,2024,candle.com,candle.ai,candle.io
30119,canvas,"Canvas",Fall 2024,2024,canvas.com,canvas.ai,canvas.io
30096,capy,"Capy",Fall 2024,2024,capy.com,capy.ai,capy.io
30124,careforce,"Careforce",Fall 2024,2024,careforce.com,careforce.ai,careforce.io
30046,cekura-ai,"Cekura",Fall 2024,2024,cekura.com,cekura.ai,cekura.io
30065,withcharm,"Charm",Fall 2024,2024,charm.com,charm.ai,charm.io
30014,clarus,"Clarus",Fall 2024,2024,clarus.com,clarus.ai,clarus.io
30091,collectwise,"CollectWise",Fall 2024,2024,collectwise.com,collectwise.ai,collectwise.io
30095,consus,"Consus",Fall 2024,2024,consus.com,consus.ai,consus.io
30024,crouton,"Crouton",Fall 2024,2024,crouton.com,crouton.ai,crouton.io
30076,crustdata,"Crustdata",Fall 2024,2024,crustdata.com,crustdata.ai,crustdata.io
30054,ctgt,"CTGT",Fall 2024,2024,ctgt.com,ctgt.ai,ctgt.io
30083,curo,"Curo",Fall 2024,2024,curo.com,curo.ai,curo.io
30032,darkgrade,"Darkgrade",Fall 2024,2024,darkgrade.com,darkgrade.ai,darkgrade.io
30080,dexter,"Dexter",Fall 2024,2024,dexter.com,dexter.ai,dexter.io
30102,diffusion-studio,"Diffusion Studio",Fall 2024,2024,diffusionstudio.com,diffusionstudio.ai,diffusionstudio.io
30027,durate,"Durate",Fall 2024,2024,durate.com,durate.ai,durate.io
30118,ember,"Ember",Fall 2024,2024,ember.com,ember.ai,ember.io
30047,endstack,"Endstack",Fall 2024,2024,endstack.com,endstack.ai,endstack.io
30110,forerunner-ai,"Forerunner AI",Fall 2024,2024,forerunnerai.com,forerunnerai.ai,forerunnerai.io
30063,freebuff,"Freebuff",Fall 2024,2024,freebuff.com,freebuff.ai,freebuff.io
30116,freestyle-ai,"Freestyle",Fall 2024,2024,freestyle.com,freestyle.ai,freestyle.io
30089,fresco,"Fresco",Fall 2024,2024,fresco.com,fresco.ai,fresco.io
30109,futureclinic,"FutureClinic",Fall 2024,2024,futureclinic.com,futureclinic.ai,futureclinic.io
30028,gait,"Gait",Fall 2024,2024,gait.com,gait.ai,gait.io
30018,galini,"Galini",Fall 2024,2024,galini.com,galini.ai,galini.io
30099,gander,"Gander",Fall 2024,2024,gander.com,gander.ai,gander.io
30087,gecko-security,"Gecko Security",Fall 2024,2024,geckosecurity.com,geckosecurity.ai,geckosecurity.io
30053,general-learning,"General Learning",Fall 2024,2024,generallearning.com,generallearning.ai,generallearning.io
30031,getcho,"Getcho",Fall 2024,2024,getcho.com,getcho.ai,getcho.io
30034,healthspark,"HealthSpark",Fall 2024,2024,healthspark.com,healthspark.ai,healthspark.io
30129,humanlayer,"HumanLayer",Fall 2024,2024,humanlayer.com,humanlayer.ai,humanlayer.io
30064,hybrd,"HYBRD",Fall 2024,2024,hybrd.com,hybrd.ai,hybrd.io
30097,innate,"Innate",Fall 2024,2024,innate.com,innate.ai,innate.io
30052,issen,"ISSEN",Fall 2024,2024,issen.com,issen.ai,issen.io
30062,karmen,"Karmen",Fall 2024,2024,karmen.com,karmen.ai,karmen.io
30056,keye,"Keye",Fall 2024,2024,keye.com,keye.ai,keye.io
30101,kilvin,"Kilvin",Fall 2024,2024,kilvin.com,kilvin.ai,kilvin.io
30115,laminar-com,"Laminar",Fall 2024,2024,laminar.com,laminar.ai,laminar.io
30038,lightscreen-ai,"Lightscreen AI",Fall 2024,2024,lightscreenai.com,lightscreenai.ai,lightscreenai.io
30060,lingodotdev,"Lingo.dev",Fall 2024,2024,lingodev.com,lingodev.ai,lingodev.io
30127,loombotic,"Loombotic",Fall 2024,2024,loombotic.com,loombotic.ai,loombotic.io
30057,luthor,"Luthor",Fall 2024,2024,luthor.com,luthor.ai,luthor.io
30048,astrix-health,"Matcha",Fall 2024,2024,matcha.com,matcha.ai,matcha.io
30113,melder,"Melder",Fall 2024,2024,melder.com,melder.ai,melder.io
30103,metreecs,"Metreecs",Fall 2024,2024,metreecs.com,metreecs.ai,metreecs.io
